year,month,day,irradiation_forecast,temperature_forecast,irradiation,temperature,power
2017,1,10,91.22639,4.105371,332.187217,2.2939991,2388.223327
2017,1,10,138.80505,3.5153708,288.3947985,0.874315495,2087.529171
2017,1,10,165.26111,2.665371,250.4515941,0.778730181,1857.118605
2017,1,10,163.74234,1.9853708,147.8300726,0.298241269,1191.74823
2017,1,10,137.79205,1.8353708,41.46834645,1.520978176,334.9538472
2017,1,10,90.236885,2.0053709,2.149254788,2.712764545,1.831259144
2017,1,10,29.468998,2.935371,1.082063015,3.64633812,0
2017,1,10,0,3.655371,1.155351304,4.444087007,0
2017,1,10,0,4.315371,1.438628137,5.122243352,0
2017,1,10,0,4.685371,1.407567809,5.758594832,0
2017,1,10,0,4.935371,1.383376446,6.717160432,0
2017,1,10,0,5.225371,1.296644046,7.083506239,0
2017,1,10,0,5.4453707,1.362771594,7.202906735,0
2017,1,11,0,5.6153708,1.603686138,6.926218221,0
2017,1,11,0,5.825371,1.656056129,7.12440347,0
2017,1,11,0,6.1353707,1.828828953,7.630927108,0
2017,1,11,0,6.515371,1.621494596,7.110458937,0
2017,1,11,0,6.835371,1.225845147,7.318860556,0
2017,1,11,0,7.065371,1.191301629,8.153214472,0
2017,1,11,0,7.285371,1.060169932,8.806490154,0
2017,1,11,0,7.665371,1.325854628,9.352113795,0
2017,1,11,0,8.26537,44.40148519,8.673111398,310.2684954
2017,1,11,0,8.43537,239.2352535,5.028862016,2101.434541
2017,1,11,31.836594,7.1353707,436.3143193,0.339894255,2996.063232
2017,1,11,94.68982,4.605371,500.9638687,2.995234526,3213.074805
2017,1,11,143.39542,2.8153708,483.8841142,3.851999465,3091.009896
2017,1,11,170.44763,1.7853707,368.4319635,3.067102883,2503.032093
2017,1,11,168.94081,0.05462925,206.3094861,2.231312501,1610.903295
2017,1,11,143.41072,0.29537076,45.47038821,0.726646168,358.8778917
2017,1,11,95.192215,0.7953707,1.665660034,0.74678066,0.147224946
2017,1,11,32.780983,1.4753708,0.920100484,1.154126155,0
2017,1,11,0,1.8553708,0.880597276,0.836198771,0
2017,1,11,0,2.0653708,0.974402277,1.250023243,0
2017,1,11,0,1.8153707,0.905632975,1.427050892,0
2017,1,11,0,1.3953707,0.931161007,1.338583196,0
2017,1,11,0,0.62537074,0.981280603,1.487280433,0
2017,1,11,0,0.33537075,0.863100316,0.603158398,0
2017,1,12,0,0.33537075,0.642596417,0.614423085,0
2017,1,12,0,0.57462925,0.714218662,1.143573741,0
2017,1,12,0,1.5546293,0.436281689,1.629269303,0
2017,1,12,0,1.3346293,0.935985443,1.865097113,0
2017,1,12,0,1.3446293,0.830571043,3.227950719,0
2017,1,12,0,1.2646292,0.687489857,3.790776942,0
2017,1,12,0,1.1346292,0.567813418,4.053501367,0
2017,1,12,0,1.2046293,0.483951751,4.018052459,0
2017,1,12,0,1.2446293,10.76019521,4.146862788,38.11706824
2017,1,12,0,1.1946293,92.26339426,4.893830917,570.0788979
2017,1,12,29.514086,1.7746292,60.57575666,4.849308341,289.163576
